text_input,output
"بازی Blackjack چگونه کار می‌کند؟","🃏 **بازی Blackjack در CCoin**

Blackjack (21) یکی از محبوب‌ترین مینی‌گیم‌های CCoin است که شانس برد نسبتاً بالایی دارد:

🔹 **نحوه شروع بازی**:
• دستور </blackjack:0> [مقدار شرط] را وارد کنید
• مثال: </blackjack:0> 1000 (شرط 1000 سکه)

🔹 **قوانین بازی**:
• 🎯 **هدف**: رسیدن به مجموع کارت‌های نزدیک به 21 بدون رد شدن از آن
• 🔢 **ارزش کارت‌ها**: کارت‌های 2-10 ارزش عددی خود را دارند، J/Q/K = 10، و A = 1 یا 11
• 🎲 **تصمیم‌گیری**: انتخاب بین گرفتن کارت جدید (Hit) یا ایستادن (Stand)
• 👑 **بلک‌جک**: دریافت A و یک کارت 10 امتیازی در ابتدا (پرداخت 2.5 برابر)

🔹 **استراتژی اصلی**:
• اگر مجموع کارت‌های شما کمتر از 17 است، معمولاً باید کارت جدید بگیرید
• اگر مجموع کارت‌های شما 17 یا بیشتر است، معمولاً باید بایستید
• به یاد داشته باشید که دیلر باید تا مجموع 17 کارت بگیرد

🔹 **نتایج ممکن**:
• 🏆 **برنده**: مجموع امتیاز شما بیشتر از دیلر (بدون رد شدن از 21)
• 💥 **باخت**: رد شدن از 21 (Bust) یا امتیاز کمتر از دیلر
• 🤝 **مساوی**: امتیاز برابر با دیلر

برای موفقیت در Blackjack، ترکیبی از شانس و استراتژی نیاز است! 🎰🃏"

"چگونه می‌توانم موسیقی گوش کنم یا ایموجی‌های سفارشی استفاده کنم؟","🎵 **موسیقی و ایموجی‌های سفارشی در CCoin**

ربات CCoin یک ربات اقتصادی-گیمینگ است و به طور مستقیم امکانات پخش موسیقی یا ایموجی سفارشی ارائه نمی‌دهد. این ربات روی قابلیت‌های اقتصادی، مینی‌گیم‌ها و تعامل کاربران تمرکز دارد.

🔹 **برای موسیقی**:
از ربات‌های مخصوص موسیقی در دیسکورد مانند Rythm، Groovy، یا FredBoat استفاده کنید. این ربات‌ها به طور تخصصی برای پخش موسیقی طراحی شده‌اند.

🔹 **برای ایموجی‌های سفارشی**:
ایموجی‌های سفارشی را می‌توانید از طریق تنظیمات سرور دیسکورد اضافه کنید (نیاز به دسترسی مدیریتی دارد). 

🔹 **امکانات بصری CCoin**:
• 🎨 بک‌گراندهای سفارشی پروفایل در فروشگاه 
• 🏆 نشان‌های (بج‌های) متنوع و زیبا
• 🎭 افکت‌های ویژه در برخی مینی‌گیم‌ها
• 📊 نمودارهای اطلاعاتی جذاب در پروفایل و آمار

CCoin تجربه‌ای متمرکز بر اقتصاد و بازی ارائه می‌دهد و برای موارد دیگر بهتر است از ربات‌های تخصصی استفاده کنید. 🎮✨"

"چگونه می‌توانم تنظیمات ربات را برای سرور خودم تغییر دهم؟","⚙️ **تنظیمات سرور CCoin برای ادمین‌ها**

اگر ادمین یا مدیر سرور هستید، می‌توانید تنظیمات مختلف ربات را برای سرور خود شخصی‌سازی کنید:

🔹 **تنظیمات کانال‌ها**:
• </setfeedbackchannel:0> - تعیین کانال بازخوردها
• </tipchannel:0> - تعیین کانال نکات خودکار
• </untipchannel:0> - غیرفعال کردن کانال نکات

🔹 **تنظیمات اقتصادی** (از طریق پنل ادمین):
• </admin:0> - دسترسی به پنل مدیریت کامل
• تنظیم نرخ دریافت سکه در مینی‌گیم‌ها
• مدیریت جوایز ایونت‌ها
• تنظیم پارامترهای سیستم دزدی

🔹 **تنظیمات ایموجی و زبان**:
• تنظیم زبان پیش‌فرض ربات (فارسی/انگلیسی)
• شخصی‌سازی پیام‌های خوشامدگویی

🔹 **تنظیمات رویدادها**:
• برنامه‌ریزی ایونت‌های دوره‌ای
• تنظیم گیوآوی‌های خودکار
• مدیریت چالش‌های هفتگی

تمام این تنظیمات به شما کمک می‌کند تا ربات CCoin را کاملاً با نیازهای سرور خود تطبیق دهید و تجربه منحصر به فردی برای اعضای سرور ایجاد کنید. 🛠️✨"

"سیستم توزیع سکه بین کاربران چگونه کار می‌کند؟","🌧️ **سیستم توزیع سکه در CCoin**

ادمین‌های سرور می‌توانند از طریق پنل ادمین، سکه را بین تمام کاربران فعال توزیع کنند:

🔹 **نحوه توزیع سکه** (برای ادمین‌ها):
1. با دستور </admin:0> وارد پنل ادمین شوید
2. گزینه «توزیع سکه» را انتخاب کنید
3. مقدار سکه برای توزیع را مشخص کنید
4. دلیل توزیع را وارد کنید (اختیاری، اما توصیه می‌شود)
5. تأیید نهایی را انجام دهید

🔹 **ویژگی‌های سیستم توزیع**:
• 🔵 **اعلان آبی رنگ**: تمام کاربران یک اعلان آبی رنگ دریافت می‌کنند
• 📝 **ذکر دلیل**: در اعلان، دلیل توزیع و نام ادمین ذکر می‌شود
• 📊 **گزارش‌گیری**: سیستم، گزارش کاملی از توزیع ارائه می‌دهد
• 🎯 **هدفمندی**: امکان توزیع بین گروه خاصی از کاربران (مثلاً فقط VIP‌ها)

این قابلیت برای رویدادهای ویژه، جشن‌ها، یا پاداش دادن به کاربران فعال بسیار مفید است. همچنین باعث ایجاد انگیزه و شور و شوق در سرور می‌شود! 💸✨"

"من مشکلی در دستورات دارم، چطور می‌توانم کمک بگیرم؟","🆘 **دریافت کمک و پشتیبانی در CCoin**

اگر با مشکلی در استفاده از دستورات یا قابلیت‌های ربات مواجه شده‌اید، چند راه برای دریافت کمک وجود دارد:

🔹 **استفاده از هوش مصنوعی CCoin**:
• دستور </askai:0> [توضیح مشکل] را اجرا کنید
• مثال: </askai:0> مشکل در دستور daily دارم، پیام خطا می‌دهد

🔹 **دستور راهنما**:
• </help:0> - مشاهده راهنمای کامل ربات
• </help:0> [نام دستور] - راهنمای اختصاصی یک دستور

🔹 **ارسال بازخورد یا گزارش باگ**:
• </feedback:0> [توضیح مشکل] - ارسال گزارش مستقیم به تیم پشتیبانی

🔹 **تماس با ادمین‌های سرور**:
• معمولاً ادمین‌های سرور می‌توانند به مشکلات رایج رسیدگی کنند

🔹 **پیوستن به سرور پشتیبانی رسمی**:
• با دستور </support:0> می‌توانید لینک دعوت به سرور پشتیبانی رسمی را دریافت کنید

سعی کنید مشکل خود را با جزئیات کامل توضیح دهید تا بتوانیم سریع‌تر به شما کمک کنیم! 🛠️✨"

"آیا میتوانم از دستورات قدیمی با علامت ! استفاده کنم؟","⚠️ **دستورات با علامت ! در CCoin**

خیر، ربات CCoin به طور کامل از سیستم دستورات اسلش (/) استفاده می‌کند و دیگر از دستورات با پیشوند ! پشتیبانی نمی‌کند.

🔹 **دلایل استفاده از دستورات اسلش**:
• 🔒 **امنیت بیشتر**: دستورات اسلش امن‌تر هستند و نیاز به دسترسی‌های کمتری دارند
• 🎯 **دقت بالاتر**: احتمال اشتباه در تایپ دستورات کاهش می‌یابد
• 💻 **رابط کاربری بهتر**: نمایش گزینه‌ها و پارامترها به صورت بصری
• 🚀 **عملکرد سریع‌تر**: پردازش سریع‌تر دستورات توسط دیسکورد
• 🔍 **جستجوپذیری**: امکان جستجو در لیست دستورات

🔹 **نحوه استفاده از دستورات اسلش**:
1. علامت / را در چت تایپ کنید
2. لیست دستورات CCoin نمایش داده می‌شود
3. دستور مورد نظر را انتخاب کنید یا ادامه تایپ کنید تا فیلتر شود
4. پارامترهای مورد نیاز را وارد کنید
5. Enter را بزنید یا روی دستور کلیک کنید

تمام دستورات قدیمی با پیشوند ! به دستورات اسلش (/) تبدیل شده‌اند و عملکرد مشابهی دارند. 🔄✨"

"من می‌خواهم برای ربات خودم CCoinAI را تنظیم کنم. آیا این امکان وجود دارد؟","🤖 **تنظیم CCoinAI برای ربات‌های دیگر**

CCoinAI یک هوش مصنوعی اختصاصی است که برای ربات CCoin طراحی و آموزش داده شده است. در حال حاضر، امکان استفاده مستقیم از CCoinAI در ربات‌های دیگر وجود ندارد.

🔹 **چرا CCoinAI اختصاصی است**:
• 🧠 مدل هوش مصنوعی با داده‌های مخصوص CCoin آموزش دیده است
• 🔒 سیستم دارای محافظت‌های امنیتی و مجوزهای خاص است
• ⚙️ ادغام عمیق با سیستم‌های داخلی ربات CCoin دارد

🔹 **گزینه‌های جایگزین برای ربات شما**:
• استفاده از API‌های عمومی هوش مصنوعی مانند Google Gemini یا OpenAI
• ایجاد مدل اختصاصی خود با آموزش بر روی داده‌های مرتبط با ربات شما
• استفاده از سرویس‌های مدیریت شده هوش مصنوعی مخصوص ربات‌ها

🔹 **تماس با تیم توسعه**:
اگر علاقه‌مند به همکاری هستید، می‌توانید از طریق سرور پشتیبانی رسمی CCoin با تیم توسعه تماس بگیرید. ممکن است در آینده قابلیت‌های CCoinAI به صورت API برای استفاده در پروژه‌های دیگر ارائه شود. 🌐🧠✨
